	corr	dotprod	run	runtype	ses	sub	trial
0	0.1661560153558204	140090.69493673483	2.0	cognitive	1.0	19.0	0.0
1	0.07035906063501253	39918.262084607835	2.0	cognitive	1.0	19.0	1.0
2	-0.1465817621740869	-218195.7127060108	2.0	cognitive	1.0	19.0	2.0
3	0.021112142633562318	13435.70411684506	2.0	cognitive	1.0	19.0	3.0
4	-0.18832997833634807	-164481.80735297143	2.0	cognitive	1.0	19.0	4.0
5	0.20461543050606926	121650.01326919375	2.0	cognitive	1.0	19.0	5.0
6	-0.36280450179545654	-537853.1209164675	2.0	cognitive	1.0	19.0	6.0
7	-0.04663730164735933	-47301.164220292136	2.0	cognitive	1.0	19.0	7.0
8	-0.05239226640947378	-37560.193895027805	2.0	cognitive	1.0	19.0	8.0
9	0.1705347151973576	132593.71673500142	2.0	cognitive	1.0	19.0	9.0
10	0.09154975399910738	65179.123134173315	2.0	cognitive	1.0	19.0	10.0
11	-0.04981564693512527	-94477.8261845058	2.0	cognitive	1.0	19.0	11.0
12	-0.39817754765783675	-775560.8648035143	5.0	cognitive	1.0	19.0	0.0
13	-0.1476911297518481	-114425.00994922555	5.0	cognitive	1.0	19.0	1.0
14	0.4994461271255596	481698.17307365214	5.0	cognitive	1.0	19.0	2.0
15	0.10850452523803604	90302.69493737932	5.0	cognitive	1.0	19.0	3.0
16	0.07345010939472474	54390.59208808347	5.0	cognitive	1.0	19.0	4.0
17	-0.2141161148893939	-248145.13845411778	5.0	cognitive	1.0	19.0	5.0
18	-0.048967921803555026	-75588.15211029086	5.0	cognitive	1.0	19.0	6.0
19	0.2019061879613514	269315.7528057424	5.0	cognitive	1.0	19.0	7.0
20	-0.06312380312835368	-74069.02272810103	5.0	cognitive	1.0	19.0	8.0
21	0.3083859562167782	276609.79780470516	5.0	cognitive	1.0	19.0	9.0
22	-0.29323980047767556	-307219.2711518271	5.0	cognitive	1.0	19.0	10.0
23	0.3339585962209561	265650.0684851071	5.0	cognitive	1.0	19.0	11.0
