"task","subj","rand_intercept","rand_cue","rand_stimulus_linear","rand_stimulus_quad","rand_int_cue_stimlin","rand_int_cue_stimquad","fix_intercept","fix_cue","fix_stimulus_linear","fix_stimulus_quad","fix_int_cue_stimlin","fix_int_cue_stimquad"
"vicarious","29",-14.995852446285,5.20634312376461,-13.2658285475843,2.42481449600349,7.86628539828597,-2.27014584993969,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","4",-14.5484759429122,5.59873640763892,-11.3507810150845,1.29259473266138,7.47649153287671,-1.2935982344074,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","16",-14.2644824762603,2.69601420080104,-10.8911119484083,2.58062791297811,4.60397510601111,-1.74597783233581,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","53",-13.430680414534,3.08781053756946,-12.5919162572419,3.34517675039689,5.87997717816455,-2.74236347462046,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","30",-9.35771009728631,1.19179831936689,-8.19423887637992,2.5270595002542,2.94116040167116,-1.81593473611461,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","8",-8.05090226731393,3.44492017129554,-7.17000925653022,0.99252597725016,4.85413193139489,-1.10379762799683,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","9",-6.07792947584582,6.48414441506441,-2.28190143893701,-2.85030921294727,5.93025003040927,1.63286810079721,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","3",-4.63042249133718,6.77606206572765,-7.77988013359394,-0.019344172592452,8.9020881717698,-1.50547242355109,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","6",-4.3164275535642,2.32936384223931,-5.02618567847953,0.889945184504456,3.57586146902657,-1.10322120394549,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","47",0.401397499452497,3.71112092300992,0.802406494190068,-2.2724790728944,3.20618985823732,1.12283014762863,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","24",1.0336042102814,-1.35781569491717,1.7925528152757,-0.103842225217879,-1.86653479007261,0.398488348077769,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","33",2.96435239597755,-1.21006006135992,-2.3428896627726,2.15774218101287,0.462171819040313,-2.17487964457404,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","28",3.00498972620228,-5.52835304359318,3.48154690844789,1.3967020109329,-6.14822797107159,-0.082426362991223,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","35",3.29291372558947,-2.08490392289202,2.59379879477747,0.114925141753554,-2.47051317009183,0.129539366225892,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","14",3.97994885559759,-1.43591576670333,1.14185189924268,0.603204506202337,-1.09076058157404,-0.647520419133433,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","10",5.10650959574102,-3.37549377400511,3.12334027363781,0.711984328801639,-3.56875438609289,-0.297751166126635,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","51",5.5504559831425,-7.44328163462061,3.76550416211218,2.52322394270209,-7.58454727871588,-0.943519227828862,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","15",5.83188747502309,-6.44926702340006,6.92574389474434,0.425085700673442,-7.98982575843441,0.849668507522679,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","5",7.76021900306878,-7.47608156147084,6.80799767118071,1.23126781176438,-8.53351378801279,0.11534762243415,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","31",7.92646707321844,1.23202133060856,9.81418587935593,-4.76446489579191,-1.65308905780214,3.51659074343562,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","26",8.53864094944261,-0.751992766558765,9.8465740313056,-3.69238229101779,-3.41251890356617,2.96272352904104,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","32",8.56856930317858,-0.628081344582211,6.17653647404239,-1.87217437117917,-1.67406991379847,1.07194306383327,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","37",10.3197622255492,-0.018790536796653,10.1620855357069,-4.02915376106615,-2.5233323235533,2.8674633070092,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
"vicarious","55",15.3931651438741,-3.99829820618491,14.4606179809931,-3.61273017518592,-7.18289497410031,3.05914546756068,29.7545791236134,-8.40983842632456,27.577255021222,-5.26181162390871,-7.78267716669709,1.54362168050625
