"sub","cue_randomslope"
"2",2.10161487418089
"6",-0.158105747413487
"7",-3.65617293331781
"8",1.28477970334605
"9",0.476491831745679
"10",0.692310677529836
"11",-4.39358604310069
"13",-3.47909194584083
"14",3.4523887320519
"15",-5.87069743914053
"16",4.66077978679589
"17",-0.720409768070189
"18",5.32531197365082
"19",1.04511946405122
"20",-3.15771384922386
"21",2.92248176653271
"23",-2.3475395460346
"24",1.51734083485372
"26",1.44155048038725
"28",-0.149768271878151
"29",4.95037790538002
"30",0.623634577650184
"31",0.772168285924695
"32",-6.56060426971942
"33",-4.59731358882313
"34",-3.15655765333471
"35",3.43946064397879
"36",-0.538517561168677
"37",0.547124224860044
"38",-0.0556572283638417
"39",1.09153661800575
"40",-3.33981758931258
"41",-2.10975795022553
"43",1.35888876577947
"44",1.32102839403741
"46",-9.85929423721952
"47",3.27914249687709
"50",1.68576850015435
"51",-3.20541412598623
"52",-0.677920883992158
"53",-0.64039045228792
"55",0.987200863986739
"56",-4.9855177929417
"57",-7.48441701016501
"58",8.86300492316197
"59",3.70495251772783
"60",3.99832195066115
"61",-9.82963856196361
"62",0.0870746511091348
"64",-12.695958130576
"65",1.74159918664581
"66",2.08844919568751
"68",4.22953389996808
"69",4.07732313557014
"70",0.500774995117831
"71",3.6636749429257
"73",3.5541346965539
"74",0.874970747808148
"75",-0.845531243143758
"76",4.15275319714548
"77",3.35483339342844
"78",-3.61477711590102
"79",-3.12310805503883
"80",0.846384499001091
"81",0.911470540113725
"82",3.057086128899
"83",1.11765705159906
"84",3.87421467986874
"85",3.90700889101754
"86",-0.867950385223284
"87",0.70708378305902
"88",-4.64119884496125
"89",1.42469261370345
"90",2.13299444615943
"91",-1.4160971789929
"92",-11.8093595992902
"93",1.36351943712552
"94",2.95108626522084
"95",3.55817827564564
"97",4.59169686472543
"98",-1.18479489918059
"99",-6.33190785691147
"100",1.13346309701506
"101",-3.05950309731978
"103",0.854303084391392
"104",1.53137028658164
"105",-0.0468121579307195
"106",-4.94578400389551
"107",4.40306959621589
"109",-0.944306812346255
"111",-1.33292724027469
"112",-4.93171549900417
"114",-0.509651513048074
"115",1.19801368346545
"116",2.32707237505972
"117",1.84104469419983
"118",-3.49842387265587
"119",1.06783171275115
"120",4.31197506384916
"122",2.11114953895462
"123",-1.41285774446575
"124",-3.37027975837506
"126",0.589470151146829
"127",1.19521262205451
"128",3.69794004929952
"129",-1.45363392013416
"130",3.38029463120169
"131",0.26493144231762
"132",-1.69949557670179
"133",4.49186061489875
